!Title,Organisation / Program,Link To More Details,Status,Location,Description,Skills,Position,Experience,Degree
DARPA Innovation Fellow,"US Government, Defense Advanced Research Projects Agency",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=DARPA%20Innovation%20Fellow&site=https%3A%2F%2Fwww.darpa.mil%2Fwork-with-us%2Fdarpa-innovation-fellowship,Rolling,"Washington, DC metro area.USA",(see original source),Policy,Full-time,Multiple experience levels,Undergraduate degree or less
Various Fellowships,Center for Strategic and International Studies,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fcareers.csis.org%2Fopportunities,Rolling,"Washington, DC metro area.USA",(see original source),"Policy, Research, Management",Fellowship,Mid (5-9 years experience),Undergraduate degree or less
Various Internships,"US Government, National Aeronautics and Space Administration",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Internships&site=https%3A%2F%2Fwww.nasa.gov%2Flearning-resources%2Finternship-programs%2F,"Now open, closes May '26",.USA,(see original source),"Research, Software engineering, Engineering, Other",Internship,Entry-level,Undergraduate degree or less
Science Undergraduate Laboratory Internships,"US Government, Department of Energy",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Science%20Undergraduate%20Laboratory%20Internships&site=https%3A%2F%2Fscience.osti.gov%2Fwdts%2Fsuli,"Now open, closes May '26",Various.USA,(see original source),"Research, Policy",Internship,Entry-level,Undergraduate degree or less
Various Opportunities,Eisenhower Fellowships,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Opportunities&site=https%3A%2F%2Fwww.efworld.org%2Fapply-now%2F,"Now open, closes Mar '26","Various.Global, Various.USA",(see original source),Policy,Fellowship,Multiple experience levels,Undergraduate degree or less
Eagleton Science and Politics Fellow,"Rutgers University, Eagleton Institute of Politics",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Eagleton%20Science%20and%20Politics%20Fellow&site=https%3A%2F%2Feagleton.rutgers.edu%2Feagleton-science-and-politics-program-2%2F,Closed Mar '26,"Trenton, NJ.USA, New Brunswick, NJ.USA",(see original source),Policy,Fellowship,Multiple experience levels,Doctoral degree
"Fellow, Science & Technology Policy",California Council on Science and Technology,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Fellow%2C%20Science%20%26%20Technology%20Policy&site=https%3A%2F%2Fccst.us%2Fccst-science-fellows-program%2F,Closed Mar '26,"Sacramento, CA.USA",(see original source),Policy,Fellowship,Entry-level,Doctoral degree
Various Fellowships,International Institute for Strategic Studies,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fwww.iiss.org%2Fcareers%2F,Closed Mar '26,London.UK,(see original source),"Research, Policy",Fellowship,Mid (5-9 years experience),Undergraduate degree or less
Summer Fellowship,Hudson Institute of Political Studies,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Summer%20Fellowship&site=https%3A%2F%2Fhudsonpoliticalstudies.org%2Ffellowship,Closed Mar '26,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Entry-level,Undergraduate degree or less
Science & Technology Policy Fellowship,Aspen Institute,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Science%20%26%20Technology%20Policy%20Fellowship&site=https%3A%2F%2Faspenpolicyacademy.org%2Fprogram%2Fscience-and-technology-policy-fellowship%2F,Closed Feb '26,San Francisco Bay Area.USA,(see original source),Policy,Fellowship,Mid (5-9 years experience),Undergraduate degree or less
Research Associateship Program,"US Government, National Research Council",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Research%20Associateship%20Program&site=https%3A%2F%2Fwww.nationalacademies.org%2Four-work%2Frap%2Fnrc-research-associateship-programs,Closed Feb '26,.USA,(see original source),Research,Fellowship,Multiple experience levels,Doctoral degree
AMS Congressional Fellowship,American Mathematical Society,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=AMS%20Congressional%20Fellowship&site=https%3A%2F%2Fwww.ams.org%2Fgovernment%2Fgovernment%2Fams-congressional-fellowship,Closed Feb '26; Opens fall '26,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Entry-level,Doctoral degree
Boren Awards Programs,"US Government, Department of Defense",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Boren%20Awards%20Programs&site=https%3A%2F%2Fwww.borenawards.org%2F%3Fmc_cid%3D317720c102,Closed Jan '26,.USA,(see original source),Research,Funding,Junior (1-4 years experience),Undergraduate degree or less
High School Internships,"US Government, National Institute of Standards and Technology",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=High%20School%20Internships&site=https%3A%2F%2Fwww.nist.gov%2Fiaao%2Facademic-affairs-office%2Fhigh-school-students-ship,Closed Jan '26,"Boulder, CO.USA, Washington, DC metro area.USA",(see original source),Research,Internship,Entry-level,Undergraduate degree or less
Summer Undergraduate Research Fellowship,"US Government, National Institute of Standards and Technology",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Summer%20Undergraduate%20Research%20Fellowship&site=https%3A%2F%2Fwww.nist.gov%2Fsurf,Closed Jan '26,"Honolulu, HI.USA",(see original source),"Research, Policy",Fellowship,Entry-level,Undergraduate degree or less
Various Fellowship Programs,"Princeton University, Center for Information Technology Policy",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowship%20Programs&site=https%3A%2F%2Fcitp.princeton.edu%2Fprograms%2F,Closed Jan '26,"Princeton, NJ.USA",(see original source),"Policy, Research",Fellowship,Multiple experience levels,Master's degree
Various Government Fellowships,Institute of Electrical and Electronics Engineers,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Government%20Fellowships&site=https%3A%2F%2Fieeeusa.org%2Fpublic-policy%2Fgovernment-fellowships%2Fcongressional%2F,Closed Jan '26,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Multiple experience levels,Master's degree
Government Fellowships,Institute of Electrical and Electronics Engineers,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Government%20Fellowships&site=https%3A%2F%2Fieeeusa.org%2Fpublic-policy%2Fgovernment-fellowships%2F,Closed Jan '26,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Multiple experience levels,Master's degree
Scoville Peace Fellowship,Scoville Peace Fellowship,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Scoville%20Peace%20Fellowship&site=https%3A%2F%2Fscoville.org%2Foverview%2F,Closed Jan '26; Opens Apr '26,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Junior (1-4 years experience),Undergraduate degree or less
Science Policy Fellowship,Institute for Defense Analyses,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Science%20Policy%20Fellowship&site=https%3A%2F%2Fwww.ida.org%2Fen%2Fcareers%2Fstudents-and-recent-graduates%2Finternships-and-fellowships%2Fscience-policy-fellowship,Closed Jan '26; Opens fall '26,"Washington, DC metro area.USA",(see original source),"Policy, Research",Fellowship,Entry-level,Undergraduate degree or less
AAAS Mass Media Science and Engineering Fellowship,American Association for the Advancement of Science,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=AAAS%20Mass%20Media%20Science%20and%20Engineering%20Fellowship&site=https%3A%2F%2Fwww.aaas.org%2Fprograms%2Fmass-media-fellowship,Closed Jan '26,".Global, .USA",(see original source),Policy,Fellowship,Entry-level,Master's degree
Fellowship,"Harvard University, Berkman Klein Center for Internet and Society",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Fellowship&site=https%3A%2F%2Fcyber.harvard.edu%2Fgetinvolved%2Ffellowships,Closed Dec '25,Boston metro area.USA,(see original source),"Policy, Research",Fellowship,Multiple experience levels,Master's degree
"Scholarship, Science, Mathematics, and Research for Transformation ","US Government, Department of Defense",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Scholarship%2C%20Science%2C%20Mathematics%2C%20and%20Research%20for%20Transformation%20&site=https%3A%2F%2Fwww.smartscholarship.org%2Fsmart,Closed Dec '25; Opens Aug '26,Various.USA,(see original source),"Research, Policy",Internship,Entry-level,Undergraduate degree or less
"Fellowship, Technology and Geopolitics ","Harvard University, Belfer Center for Science and International Affairs",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Fellowship%2C%20Technology%20and%20Geopolitics%20&site=https%3A%2F%2Fwww.belfercenter.org%2Ffellowship%2Ftechnology-and-geopolitics,Closed Dec '25,Boston metro area.USA,(see original source),"Policy, Research",Fellowship,Entry-level,Master's degree
"Fellowship, International Security Program","Harvard University, Belfer Center for Science and International Affairs",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Fellowship%2C%20International%20Security%20Program&site=https%3A%2F%2Fwww.belfercenter.org%2Ffellowship%2Finternational-security-program,Closed Dec '25,Boston metro area.USA,(see original source),"Policy, Research",Fellowship,Entry-level,Doctoral degree
The Supreme Court Fellows Program,Supreme Court of the United States,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=The%20Supreme%20Court%20Fellows%20Program&site=https%3A%2F%2Fwww.supremecourt.gov%2Ffellows%2FAboutFellowships.aspx,Closed Nov '25,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Entry-level,Master's degree
"Fellow, Science and Technology Policy",American Association for the Advancement of Science,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Fellow%2C%20Science%20and%20Technology%20Policy&site=https%3A%2F%2Fwww.aaas.org%2Fprograms%2Fscience-technology-policy-fellowships%2Fbecome-st-policy-fellow,Closed Nov '25,"Washington, DC metro area.USA",(see original source),"Policy, Research",Fellowship,Multiple experience levels,Master's degree
Various Fellowships,"Georgetown University, Center for Security and Emerging Technology",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fcset.georgetown.edu%2Fcareers%2F,Closed Nov '25,.USA,(see original source),"Research, Management",Fellowship,"Junior (1-4 years experience), Mid (5-9 years experience)",Master's degree
Health Policy Fellows,Robert Wood Johnson Foundation,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Health%20Policy%20Fellows&site=https%3A%2F%2Fhealthpolicyfellows.org%2F,Closed Nov '25; Opens Aug '26,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Senior (10+ years experience),Master's degree
Linus Pauling Distinguished Postdoctoral Fellowship,"US Government, Pacific Northwest National Laboratory",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Linus%20Pauling%20Distinguished%20Postdoctoral%20Fellowship&site=https%3A%2F%2Fwww.pnnl.gov%2Fprojects%2Flinus-pauling-distinguished-postdoctoral-fellowship,Closed Nov '25,.USA,(see original source),Research,Fellowship,Entry-level,Doctoral degree
The Christine Mirzayan Science and Technology Policy Graduate Fellowship Program,"US Government, National Academies of Sciences, Engineering, and Medicine",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=The%20Christine%20Mirzayan%20Science%20and%20Technology%20Policy%20Graduate%20Fellowship%20Program&site=https%3A%2F%2Fmirzayanfellow.nas.edu%2F,Closed Aug '25; Opens spring '26,"Washington, DC metro area.USA",(see original source),"Policy, Other",Fellowship,Entry-level,Undergraduate degree or less
Young Ambassadors Program,Carnegie Endowment for International Peace,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Young%20Ambassadors%20Program&site=https%3A%2F%2Fcarnegieendowment.org%2Fabout%2Fyoungambassadors,Closed Jul '25,New Delhi.India,(see original source),Policy,Internship,Entry-level,Master's degree
"Research Fellows, Technology Ethics and Policy Rising Scholars Program ",Stanford University,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Research%20Fellows%2C%20Technology%20Ethics%20and%20Policy%20Rising%20Scholars%20Program%20&site=https%3A%2F%2Fethicsinsociety.stanford.edu%2Ftech-ethics%2Fcareer-pathways-professional-development%2Ftech-ethics-policy-rising-scholars-program,Closed Jul '25; Opens spring '26,San Francisco Bay Area.USA,(see original source),"Policy, Research",Fellowship,Entry-level,Undergraduate degree or less
Congressional Innovation Fellowship,TechCongress,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Congressional%20Innovation%20Fellowship&site=https%3A%2F%2Fwww.techcongress.io%2Fcongressional-innovation-fellowship,Closed Jul '25,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Junior (1-4 years experience),Master's degree
Senior Congressional Innovation Fellowship,TechCongress,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Senior%20Congressional%20Innovation%20Fellowship&site=https%3A%2F%2Fwww.techcongress.io%2Fsenior-congressional-innovation-fellows,Closed Jul '25,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Multiple experience levels,Undergraduate degree or less
Junior Fellowships,McCain Institute,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Junior%20Fellowships&site=https%3A%2F%2Fwww.mccaininstitute.org%2Fprograms%2Fleadership-programs%2Fjunior-fellowships%2F,Closed Apr '25,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,Entry-level,Undergraduate degree or less
Student Research Fellowships,"Harvard University, Kennedy School of Government",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Student%20Research%20Fellowships&site=https%3A%2F%2Fwww.peoplelab.hks.harvard.edu%2Fcareers%2F,Closed Mar '25,"Washington, DC metro area.USA",(see original source),Research,Fellowship,Entry-level,Undergraduate degree or less
Various Fellowships,National Bureau of Economic Research,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fwww.nber.org%2Fcareer-resources%2Fcalls-fellowship-applications,Closed Jan '25,Boston metro area.USA,(see original source),"Research, Policy",Fellowship,Entry-level,Master's degree
Fellowship,"US Government, Digital Corps",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Fellowship&site=https%3A%2F%2Fdigitalcorps.gsa.gov%2F,Closed Jan '25,.USA,(see original source),"Policy, Software engineering, Data, Information security",Fellowship,Entry-level,Undergraduate degree or less
Various Internships,In-Q-Tel,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Internships&site=https%3A%2F%2Fwww.iqt.org%2Fcareers%2F,Closed Jan '25,Sydney.Australia,(see original source),Research,Internship,Junior (1-4 years experience),Undergraduate degree or less
Harkness Fellowship,The Commonwealth Fund,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Harkness%20Fellowship&site=https%3A%2F%2Fwww.commonwealthfund.org%2Ffellowships%2Fharkness-fellowships-health-care-policy-and-practice,Closed Nov '24; Opens Jun '26,.USA,(see original source),Policy,Fellowship,"Mid (5-9 years experience), Senior (10+ years experience)",Undergraduate degree or less
Fellowships,Coding it Forward,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Fellowships&site=https%3A%2F%2Fwww.codingitforward.com%2Ffellowship,Closed Oct '24,Remote.USA,(see original source),"Software engineering, Information security, Policy",Fellowship,Entry-level,Undergraduate degree or less
Jefferson Science Fellowships,"US Government, National Academies of Sciences, Engineering, and Medicine",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Jefferson%20Science%20Fellowships&site=https%3A%2F%2Fjsf.nationalacademies.org%2F,Closed Oct '24,"Washington, DC metro area.USA",(see original source),"Research, Policy",Fellowship,"Mid (5-9 years experience), Senior (10+ years experience)",Undergraduate degree or less
Presidential Innovation Fellows,"US Government, GSA Presidential Innovations Fellowship",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Presidential%20Innovation%20Fellows&site=https%3A%2F%2Fpresidentialinnovationfellows.gov%2Fapply%2F,Closed Sep '24,"Washington, DC metro area.USA",(see original source),Policy,Fellowship,"Mid (5-9 years experience), Senior (10+ years experience)",Undergraduate degree or less
Various Fellowships,R Street,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fstreet.applytojob.com%2Fapply,Closed Jun '24,"Remote.Global, Washington, DC metro area.USA",(see original source),"Research, Policy",Fellowship,"Junior (1-4 years experience), Mid (5-9 years experience)",Undergraduate degree or less
CodeX Residential Fellowship,"Stanford University, School of Law",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=CodeX%20Residential%20Fellowship&site=https%3A%2F%2Flaw.stanford.edu%2Fcodex-the-stanford-center-for-legal-informatics%2Ffellowships%2Fcodex-fellowship-faqs%2F,Closed Jan '24,San Francisco Bay Area.USA,(see original source),"Policy, Research, Legal",Fellowship,Junior (1-4 years experience),Undergraduate degree or less
Emerging Public Policy Leadership Award,American Institute of Biological Sciences,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Emerging%20Public%20Policy%20Leadership%20Award&site=https%3A%2F%2Fwww.aibs.org%2Fpolicy%2Feppla.html,Closed Jan '24,.USA,(see original source),Policy,Funding,Entry-level,Undergraduate degree or less
